المدن المدينة,تفاصيل الصفقات الحي,تفاصيل الصفقات المخطط,تفاصيل الصفقات عدد ا…,تفاصيل الصفقات التار…,تفاصيل الصفقات (رقم…,السعر بالريال السعودي,المساحة بالمتر المربع,سعر المتر المربع
جده,حي/الامواج,مخطط/251/ ب/ المعدل,قطعة 440/1,2021-10-14,15010091,"ر.س.‏ 750,000",307.5,2439
جده,حي/الامواج,مخطط/420/ ج/ س,قطعة 410/أ,2021-10-24,15068904,"ر.س.‏ 615,988",300.0,2053
جده,حي/الامواج,مخطط/420/ ج/ س,قطعة 813/ب,2021-10-10,14950042,"ر.س.‏ 1,500,000",337.5,4444
جده,حي/الامير فواز بن عب…,مخطط/108/ ب,قطعة 773,2021-10-06,14932950,"ر.س.‏ 1,600,000",900.0,1778
جده,حي/الاندلس,مخطط/3/ 407/ ع,قطعة 627/36,2021-10-06,14933839,"ر.س.‏ 3,362,000",816.0,4120
جده,حي/الاندلس,مخطط/أخرى,قطعة بدون,2021-10-19,15052270,"ر.س.‏ 20,000,000",10000.0,2000
جده,حي/البحرة,مخطط/ك/ 2/ 27,قطعة 322,2021-10-28,15136195,"ر.س.‏ 150,000",927.87,162
جده,حي/البحرة,مخطط/ك/ 2/ 27,قطعة 611,2021-10-27,15131963,"ر.س.‏ 10,000",630.0,16
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 157,2021-10-18,15038156,"ر.س.‏ 780,000",900.0,867
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 159,2021-10-11,14973860,"ر.س.‏ 700,000",900.0,778
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 159,2021-10-18,15036524,"ر.س.‏ 790,000",900.0,878
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 427,2021-10-04,14906666,"ر.س.‏ 800,000",900.0,889
جده,حي/البحيرات,مخطط/100/ ج/ س,قطعة 799,2021-10-04,14901512,"ر.س.‏ 720,000",900.0,800
جده,حي/البحيرات,مخطط/100/ ج/ س/ المع…,قطعة 1010/7,2021-10-03,14893850,"ر.س.‏ 400,000",305.5,1309
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 597/2,2021-10-24,15092720,"ر.س.‏ 700,000",463.58,1510
جده,حي/البحيرات,مخطط/78/ ج/ س,قطعة 716,2021-10-19,15051947,"ر.س.‏ 1,200,000",900.0,1333
جده,حي/البحيرات,مخطط/78/ ج/ س/ المعدل,قطعة 144/1,2021-10-21,15078295,"ر.س.‏ 725,000",449.54,1613
جده,حي/البحيرات,مخطط/78/ ج/ س/ المعدل,قطعة 144/2,2021-10-20,15064918,"ر.س.‏ 750,000",449.54,1668
جده,حي/البحيرات,مخطط/78/ ج/ س/ المعدل,قطعة 595/1,2021-10-20,15054287,"ر.س.‏ 670,000",463.55,1445
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 214/1/ج,2021-10-31,15160011,"ر.س.‏ 610,000",450.0,1356
جده,حي/البحيرات,مخطط/99/ ج/ س/ المعدل,قطعة 950/2/ج,2021-10-25,15109398,"ر.س.‏ 620,000",450.0,1378
جده,حي/البحيرات,مخطط/99/ ج/ س/ المكمل,قطعة 165,2021-10-03,14893444,"ر.س.‏ 100,000",675.0,148
جده,حي/البحيرات,مخطط/99/ ج/ س/ المكمل,قطعة 181,2021-10-12,14977504,"ر.س.‏ 1,000,000",675.0,1481
جده,حي/البحيرات,مخطط/99/ ج/ س/ المكمل,قطعة 99,2021-10-19,15051729,"ر.س.‏ 1,100,000",900.0,1222
جده,حي/البدو,مخطط/3/ 22/ م/ ت,قطعة 2/79,2021-10-11,14973599,"ر.س.‏ 1,500,000",380.0,3947
جده,حي/البريكه,مخطط/خ/ 4/ 24,قطعة 32,2021-10-27,15135432,"ر.س.‏ 145,000",750.0,193
جده,حي/البريكه,مخطط/خ/ 4/ 24,قطعة 326,2021-10-29,15154216,"ر.س.‏ 25,000",745.53,34
